questId,title,detail,category,type
503,艦隊大整備！,各艦隊から整備が必要な艦を5隻以上ドック入りさせ、大規模な整備をしよう！,5,1
140,新型電探を配備せよ！,新型電探運用試験のため、第一艦隊の旗艦に「妙高改二」を配備せよ！,1,4
175,新編「第八駆逐隊」を再編成せよ！,「朝潮改二」を旗艦とした「満潮」「大潮」「荒潮」4隻による第八駆逐隊を再編成せよ！,1,4
303,「演習」で練度向上！,本日中に他の司令官の艦隊に対して3回「演習」を挑もう！,3,1
402,「遠征」を３回成功させよう！,本日中に「遠征」３回成功させよう！,4,1
404,大規模遠征作戦、発令！,今週中に「遠征」30回成功させよう！,4,2
411,南方への鼠輸送を継続実施せよ！,今週中に「東京急行」系遠征を継続的に実施、同種作戦を7回成功させよう！,4,2
150,「第二一駆逐隊」を編成せよ！,「初春」「子日」「若葉」「初霜」4隻による第二一駆逐隊を編成せよ！,1,4
201,敵艦隊を撃破せよ！,艦隊を出撃させ、敵艦隊を捕捉、これを撃滅せよ！,2,1
403,「遠征」を１０回成功させよう！,本日中に「遠征」10回成功させよう！,4,1
504,艦隊酒保祭り！,艦隊酒保祭り！各艦に延べ15回以上の補給を実施しよう！,5,1
606,新造艦「建造」指令,「工廠」で艦娘を本日中に新たに「建造」しよう！,6,1
210,敵艦隊を10回邀撃せよ！,艦隊全力出撃！遊弋する敵艦隊を10回邀撃せよ！,2,1
302,大規模演習,今週中に「演習」で他の提督の艦隊に対して20回「勝利」しよう！,3,2
304,「演習」で他提督を圧倒せよ！,本日中に他の司令官の艦隊との「演習」で5回以上「勝利」をおさめよう！,3,1
638,対空機銃量産,「機銃」系装備を量産し、工廠で6個廃棄！ 「装備改修」強化をサポートせよ！,6,2
265,海上護衛強化月間,鎮守府正面海域の対潜哨戒を強化し、敵潜水艦を制圧、安全な海上輸送体制を確立せよ！,2,3
173,強行高速輸送部隊を編成せよ！,「川内改二」旗艦、「江風改二」「時雨改二」他駆逐2隻による水雷戦隊を編成せよ！,1,4
256,「潜水艦隊」出撃せよ！,潜水艦戦力を中核とした艦隊で中部海域哨戒線へ反復出撃、敵戦力を漸減せよ！,2,3
607,装備「開発」集中強化！,「工廠」で装備アイテムを本日中に3回「開発」しよう(失敗もOK)！,6,1
134,式の準備！(その参),第一艦隊旗艦に練度の高い(Lv.90以上～99以下)艦娘を配備して気持ちを整理せよ！,1,4
138,新編「第二航空戦隊」を編成せよ！,「飛龍改二」(※旗艦)及び「蒼龍」を基幹とした二航戦(要駆逐艦2隻)を編成せよ！,1,4
172,「第二七駆逐隊」を編成せよ！,「白露改」旗艦、「時雨」「春雨」「五月雨」4隻による第二七駆逐隊を編成せよ！,1,4
